"municipality_code","municipality_name"
"270103",JAIBÓN (PUEBLO NUEVO) (D. M.)
"270104",GUATAPANAL (D. M.)
"270201",ESPERANZA
"270202",MAIZAL (D. M.)
"270203",JICOMÉ (D. M.)
"270204",BOCA DE MAO (D. M.)
"270205",PARADERO (D. M.)
"270301",LAGUNA SALADA (D. M.)
"270302",JAIBÓN (D. M.)
"270303",LA CAYA (D. M.)
"270304",CRUCE DE GUAYACANES (D. M.)
"280101",BONAO (D. M.)
"280102",SABANA DEL PUERTO (D. M.)
"280103",JUMA BEJUCAL (D. M.)
"280104",ARROYO TORO - MASIPEDRO (D. M.)
"280105",JAYACO (D. M.)
"280106",LA SALVIA - LOS QUEMADOS (D. M.)
"280201",MAIMÓN (D. M.)
"280301",PIEDRA BLANCA (D. M.)
"280302",VILLA DE SONADOR (D. M.)
"280303",JUAN ADRIÁN (D. M.)
"290101",MONTE PLATA (D. M.)
"290102",DON JUAN (D. M.)
"290103",CHIRINO (D. M.)
"290104",BOYÁ (D. M.)
"290201",BAYAGUANA (D. M.)
"290301",SABANA GRANDE DE BOYÁ (D. M.)
"290302",GONZALO (D. M.)
"290303",MAJAGUAL (D. M.)
"290402",LOS BOTADOS (D. M.)
"290403",MAMÁ TINGÓ (D. M.)
"290501",PERALVILLO (D. M.)
"300101",HATO MAYOR (D. M.)
"300102",YERBA BUENA (D. M.)
"300103",MATA PALACIO (D. M.)
"300104",GUAYABO DULCE (D. M.)
"300201",SABANA DE LA MAR (D. M.)
"300202",ELUPINA CORDERO DE LAS CAÑITAS (D. M.)
"300301",EL VALLE (D. M.)
"310101",SAN JOSÉ DE OCOA (D. M.)
"310102",LA CIÉNAGA (D. M.)
"310103",NIZAO - LAS AUYAMAS (D. M.)
"310104",EL PINAR (D. M.)
"310105",EL NARANJAL (D. M.)
"310201",SABANA LARGA (D. M.)
"310301",RANCHO ARRIBA (D. M.)
"320101",SANTO DOMINGO ESTE (D. M.)
"320102",SAN LUIS (D. M.)
"320201",SANTO DOMINGO OESTE (D. M.)
"320301",SANTO DOMINGO NORTE (D. M.)
"320302",LA VICTORIA (D. M.)
"320401",BOCA CHICA (D. M.)
"320402",LA CALETA (D. M.)
"320501",SAN ANTONIO DE GUERRA (D. M.)
"320502",HATO VIEJO (D. M.)
"320601",LOS ALCARRIZOS (D. M.)
"320602",PALMAREJO-VILLA LINDA (D. M.)
"320603",PANTOJA (D. M.)
"320701",PEDRO BRAND (D. M.)
"320702",LA GUÁYIGA (D. M.)
"320703",LA CUABA (D. M.)
